titulo,importe_ayuda,presupuesto_proyecto,tipo_ayuda,anio_ayuda
TADEO JONES 4,"1.400.000,00€","12.700.000,00€",generales,2023
BUFFALO KIDS,"1.400.000,00€","12.196.214,00€",generales,2023
SUPERTHINGS RIVALS OF KABOOM,"1.400.000,00€","5.020.000,00€",generales,2023
SOY NEVENKA,"1.200.000,00€","4.600.000,00€",generales,2023
ROMERÍA,"1.200.000,00€","3.192.849,00€",generales,2023
EL CAUTIVO,"1.200.000,00€","9.800.000,00€",generales,2023
SABEN AQUEL QUE DIU....,"1.200.000,00€","4.727.339,07€",generales,2023
CAMPEONEX,"1.200.000,00€","7.650.283,80€",generales,2023
RAQA,"1.200.000,00€","3.187.985,00€",generales,2023
NOSOTROS,"1.200.000,00€","2.410.553,00€",generales,2023
MI AMIGA EVA,"1.200.000,00€","3.649.778,94€",generales,2023
AFTER,"1.200.000,00€","4.920.000,00€",generales,2023
LA SOSPECHA DE SOFÍA,"1.200.000,00€","4.048.640,00€",generales,2023
MENUDAS PIEZAS,"1.200.000,00€","5.000.000,00€",generales,2023
MUGA,"1.200.000,00€","2.400.000,00€",generales,2023
INFERN GLAÇAT,"1.200.000,00€","2.500.000,00€",generales,2023
LOS ÚLTIMOS ROMÁNTICOS,"1.200.000,00€","2.430.866,00€",generales,2023
CAMPAMENTO GARRA DE OSO,"1.200.000,00€","3.200.000,00€",generales,2023
ES EL ENEMIGO?,"1.200.000,00€","3.685.000,00€",generales,2023
AP-6: INFIERNO EN LA AUTOPISTA,"1.200.000,00€","5.602.280,00€",generales,2023
POLÍTICAMENTE INCORRECTOS,"1.200.000,00€","4.836.449,00€",generales,2023
CUERPO ESCOMBRO,"1.200.000,00€","4.160.000,00€",generales,2023
LOS AITAS,"1.200.000,00€","3.229.953,00€",generales,2023
EL SER QUERIDO,"1.200.000,00€","9.063.857,00€",generales,2023
LOS TIGRES DE MOMPRACEM,"1.200.000,00€","8.550.500,00€",generales,2023
PÍDEME LO QUE QUIERAS,"1.200.000,00€","5.229.806,00€",generales,2023
WOLFGANG,"1.200.000,00€","4.350.000,00€",generales,2023
LOS SANTOS INDECENTES,"1.200.000,00€","4.155.943,72€",generales,2023
LA BUENA SUERTE,"1.200.000,00€","2.730.600,00€",generales,2023
LA FIERA,"1.200.000,00€","6.800.000,00€",generales,2023
FRONTERA,"1.200.000,00€","2.878.000,00€",generales,2023
TIERRA DE NADIE,"1.200.000,00€","3.933.614,44€",generales,2023
SIGUE MI VOZ,"1.200.000,00€","4.500.000,00€",generales,2023
MASPALOMAS,"1.200.000,00€","5.000.500,00€",generales,2023
RONDALLAS,"1.200.000,00€","5.025.222,18€",generales,2023
LA INFILTRADA,"1.200.000,00€","5.092.837,45€",generales,2023
GOLPES 1982,"1.200.000,00€","3.450.000,00€",generales,2023
KARATEKA,"1.200.000,00€","3.314.284,00€",generales,2023
MALA INFLUENCIA,"1.200.000,00€","4.733.877,67€",generales,2023
SACAMANTECAS,"1.200.000,00€","5.000.100,00€",generales,2023
SIN INSTRUCCIONES,"1.200.000,00€","2.658.875,00€",generales,2023
MIS HIJOS VALEN ORO,"1.200.000,00€","2.967.720,00€",generales,2023
LOOKING FOR MICHAEL,"1.200.000,00€","3.500.000,00€",generales,2023
LA VENTANA ABIERTA,"1.200.000,00€","2.400.000,00€",generales,2023
LAS IRRESPONSABLES,"1.200.000,00€","2.400.000,00€",generales,2023
LA RODA,"1.200.000,00€","2.500.000,00€",generales,2023
11,"1.200.000,00€","2.457.000,00€",generales,2023
LA PIRATA MO Y EL RUBÍ...,"1.190.000,00€","3.026.380,00€",generales,2023
VERANO EN DICIEMBRE,"1.100.000,00€","2.347.965,70€",generales,2023
LEO & LOU,"1.072.000,00€","2.680.000,00€",generales,2023
EL ÁRBOL Y EL RUISEÑOR,"1.040.000,00€","2.600.000,00€",generales,2023
RUIDO,"598.000,00€","2.000.000,00€",generales,2023
QUINOGRAFIA,"28.500,00€","75.000,00€",selectivas,2023
LEVEL,"35.625,00€","96.937,28€",selectivas,2023
IN MEMORIAM BIEL,"49.400,00€","220.980,64€",selectivas,2023
HOY Y EL RESTO DEL MUNDO,"57.000,00€","227.833,57€",selectivas,2023
AS ESTACIÓNS,"66.500,00€","150.000,00€",selectivas,2023
TRES BALAS,"69.884,41€","147.125,08€",selectivas,2023
DREAMS FOR A BETTER PAST,"71.250,00€","100.000,00€",selectivas,2023
MITOLOGÍA DE BARRIO,"76.000,00€","200.500,00€",selectivas,2023
VELINTONIA 3,"77.900,00€","225.480,40€",selectivas,2023
ELEGÍA DE UNA CIUDAD,"81.225,00€","142.000,00€",selectivas,2023
EQUIPO CRÓNICA. ARTE DE TRINCHERA,"81.636,16€","229.916,00€",selectivas,2023
LA PIETÀ,"85.500,00€","180.000,00€",selectivas,2023
DREAMIN',"91.675,00€","195.500,00€",selectivas,2023
"MARISOL, LLÁMAME PEPA","95.000,00€","200.000,00€",selectivas,2023
LA RESERVA,"98.292,00€","196.584,00€",selectivas,2023
AMÍLCAR,"98.908,30€","208.229,00€",selectivas,2023
LA MISTERIOSA MIRADA DEL FLAMENCO,"99.630,00€","199.260,00€",selectivas,2023
YOU PLAY MY FATHER,"99.819,82€","210.147,00€",selectivas,2023
UNA PELÍCULA DE MIEDO,"104.500,00€","220.000,00€",selectivas,2023
COMO TODO MORTAL,"105.882,88€","139.955,67€",selectivas,2023
LOS RENACIDOS,"109.204,33€","375.000,00€",selectivas,2023
ONLY ON EARTH,"117.878,00€","235.757,00€",selectivas,2023
EL HOMBRE BUENO DE PACHALUM,"123.025,00€","259.900,00€",selectivas,2023
CAMIONERO,"129.469,28€","287.709,52€",selectivas,2023
UN HOMBRE LIBRE,"131.210,20€","300.000,00€",selectivas,2023
LA SINSORGA,"134.570,27€","283.305,85€",selectivas,2023
RETRATO DE UNA CERILLA,"134.900,00€","284.750,00€",selectivas,2023
MIENTRAS SEAS TÚ,"140.000,00€","376.000,00€",selectivas,2023
EL GUARDIAN,"146.300,00€","308.515,00€",selectivas,2023
LAS QUE SE ATREVIERON,"147.250,00€","321.041,00€",selectivas,2023
REINAS,"150.000,00€","600.539,00€",selectivas,2023
CUANDO SE GIRAN LAS SOMBRAS,"159.600,00€","336.497,30€",selectivas,2023
ESTE CUERPO MÍO,"168.472,80€","374.384,00€",selectivas,2023
QUI SOM,"171.640,00€","343.280,00€",selectivas,2023
LAS CHICAS ESTÁN BIEN,"172.425,00€","363.000,00€",selectivas,2023
MUCHA MIERDA,"175.750,00€","344.766,00€",selectivas,2023
LES CULPABLES,"190.006,65€","400.014,00€",selectivas,2023
EL DESHIELO,"199.679,90€","285.257,00€",selectivas,2023
"PACO RABANNE, UNA VIDA...","201.819,90€","424.884,00€",selectivas,2023
LA HABITACION BLANCA,"212.664,00€","425.328,00€",selectivas,2023
THE SLEEPER,"228.000,00€","480.165,00€",selectivas,2023
ASÍ LLEGÓ LA NOCHE,"250.000,00€","785.577,09€",selectivas,2023
PEQUEÑOS CALVARIOS,"280.250,00€","834.341,87€",selectivas,2023
EL PUMA,"285.000,00€","572.112,00€",selectivas,2023
JULIA,"300.000,00€","1.000.000,00€",selectivas,2023
OFELIA,"300.000,00€","462.462,00€",selectivas,2023
BAJO EL MISMO SOL,"300.000,00€","500.000,00€",selectivas,2023
BAILAR LA MUERTE,"314.828,76€","662.797,40€",selectivas,2023
SYNTONY,"351.500,00€","798.000,00€",selectivas,2023
VOLVERÉIS,"365.750,00€","550.000,00€",selectivas,2023
LA VOZ QUEBRADA,"495.000,00€","990.250,00€",selectivas,2023
TRALOVENTO,"505.935,80€","1.065.129,00€",selectivas,2023
LA NADADORA,"527.250,00€","1.430.462,31€",selectivas,2023
"MANTIS, LAS","560.370,00€","1.120.740,39€",selectivas,2023
LIONEL,"583.228,75€","1.227.850,00€",selectivas,2023
CIUDAD SIN SUEÑO,"600.000,00€","1.200.000,00€",selectivas,2023
SINGULAR,"628.397,33€","1.653.677,20€",selectivas,2023
GEL/HIELO/GLATSCH,"646.000,00€","1.367.530,44€",selectivas,2023
LA GANG,"700.000,00€","1.400.000,00€",selectivas,2023
MÁS BARATO QUE ROBAR,"711.550,00€","1.499.292,00€",selectivas,2023
BAJO RISCO,"750.000,00€","1.500.000,00€",selectivas,2023
HARTA,"750.000,00€","1.700.000,00€",selectivas,2023
TRES NOCHES NEGRAS,"750.000,00€","1.500.000,00€",selectivas,2023
ESTRANY RIU,"755.000,00€","1.670.000,00€",selectivas,2023
"KORRI, KURU, KORRI!","760.000,00€","1.800.600,00€",selectivas,2023
A LA CARA,"760.000,00€","2.000.164,00€",selectivas,2023
DESECHABLE,"760.000,00€","1.653.100,00€",selectivas,2023
ENTRE LA PEDRA I EL MARTELL,"760.000,00€","1.760.000,00€",selectivas,2023
TODO LO QUE NO SÉ,"760.000,00€","1.645.000,00€",selectivas,2023
EL EXTERIOR,"760.000,00€","1.517.000,00€",selectivas,2023
LA PEÑA,"766.031,00€","1.915.077,83€",selectivas,2023
MUY LEJOS (ZO VER WEG),"783.735,81€","1.800.000,00€",selectivas,2023
FORASTERA,"800.000,00€","1.679.481,00€",selectivas,2023
EL DIA QUE EWAN MC.GREGOR...,"800.000,00€","2.084.000,00€",selectivas,2023
SALEN LAS LOBAS,"800.000,00€","1.646.576,00€",selectivas,2023
EACH OF US,"800.000,00€","2.915.000,00€",selectivas,2023
LA DEUDA,"800.000,00€","2.822.393,04€",selectivas,2023
DECORADO,"800.000,00€","2.617.200,00€",selectivas,2023
SORDA,"800.000,00€","2.098.677,00€",selectivas,2023
ANEKUMEN,"800.000,00€","2.008.470,00€",selectivas,2023
YO NO MORIRE DE AMOR,"800.000,00€","1.822.681,00€",selectivas,2023
L'HOME DELS NASSOS,"9.403,00€","1.325.755,00€",generales,2022
LA NOVIA AMERICANA,"500.000,00€","1.332.577,00€",generales,2022
ASTRONAUTA,"800.000,00€","2.000.000,00€",generales,2022
CON LOS AÑOS QUE ME QUEDAN,"882.593,60€","2.206.484,00€",generales,2022
LA TERNURA,"900.000,00€","4.185.545,00€",generales,2022
UNA CASA EN FLAMES,"900.000,00€","2.700.001,00€",generales,2022
SUPER BERNARD,"900.000,00€","2.700.000,00€",generales,2022
LOS BUENOS MODALES,"900.000,00€","2.076.140,00€",generales,2022
SUBSUELO,"939.108,00€","2.347.770,00€",generales,2022
LA PEOR PERSONA DEL MUNDO,"967.412,00€","2.418.530,00€",generales,2022
NO HABERLOS TENIDO,"1.000.000,00€","4.000.000,00€",generales,2022
MARCO: LA VERDAD INVENTADA,"1.000.000,00€","3.850.000,00€",generales,2022
AL OTRO BARRIO,"1.000.000,00€","3.800.000,00€",generales,2022
ODIO EL VERANO,"1.000.000,00€","3.800.000,00€",generales,2022
LA LLUM DE L'AISHA,"1.000.000,00€","3.738.420,00€",generales,2022
LA NIÑA DE LA COMUNIÓN,"1.000.000,00€","3.632.216,00€",generales,2022
LA NAVIDAD EN SUS MANOS,"1.000.000,00€","3.599.535,00€",generales,2022
YO NO SOY ESA,"1.000.000,00€","3.499.697,00€",generales,2022
EL CORREO BELGA,"1.000.000,00€","3.440.000,00€",generales,2022
DINOGAMES,"1.000.000,00€","3.369.664,00€",generales,2022
EN LOS MÁRGENES,"1.000.000,00€","3.244.000,00€",generales,2022
CERRAR LOS OJOS,"1.000.000,00€","3.150.000,00€",generales,2022
42'',"1.000.000,00€","3.115.000,00€",generales,2022
MARISOL,"1.000.000,00€","3.050.000,00€",generales,2022
EL BUS DE LA VIDA,"1.000.000,00€","3.000.000,00€",generales,2022
UN MAL DÍA LO TIENE CUALQUIERA,"1.000.000,00€","2.995.520,00€",generales,2022
ME HE HECHO VIRAL,"1.000.000,00€","2.953.318,00€",generales,2022
MI SOLEDAD TIENE ALAS,"1.000.000,00€","2.924.000,00€",generales,2022
LA ABADESA,"1.000.000,00€","2.893.872,00€",generales,2022
HAMBURGO,"1.000.000,00€","2.880.000,00€",generales,2022
NORBERT(A),"1.000.000,00€","2.839.023,00€",generales,2022
VERANO EN ROJO,"1.000.000,00€","2.796.515,00€",generales,2022
PERSIGUIENDO A COQUE,"1.000.000,00€","2.794.717,00€",generales,2022
EL LLANTO,"1.000.000,00€","2.660.331,00€",generales,2022
ANATEMA,"1.000.000,00€","2.624.761,00€",generales,2022
TU MADRE O LA MIA,"1.000.000,00€","2.616.137,00€",generales,2022
JUSTICIA ARTIFICIAL,"1.000.000,00€","2.520.052,00€",generales,2022
EL HOTEL DE LOS LIOS,"1.000.000,00€","2.512.888,00€",generales,2022
EL AMOR DE ANDREA,"1.000.000,00€","2.503.815,00€",generales,2022
4 DIAS ÁNTES DE NAVIDAD,"1.000.000,00€","2.500.050,00€",generales,2022
EL RASTRO DEL LOBO,"1.000.000,00€","2.500.000,00€",generales,2022
TRAS EL VERANO,"1.000.000,00€","2.443.047,00€",generales,2022
FUN AMOR,"1.000.000,00€","2.285.186,00€",generales,2022
LOS TORTUGA,"1.000.000,00€","2.100.000,00€",generales,2022
LA BUENA LETRA,"1.000.000,00€","2.050.231,00€",generales,2022
UN CORAZÓN DEMASIADO GRANDE,"1.000.000,00€","2.048.722,00€",generales,2022
TERESA,"1.000.000,00€","2.005.923,00€",generales,2022
LAS CHICAS DE LA ESTACIÓN...,"1.000.000,00€","2.000.000,00€",generales,2022
RITA,"1.000.000,00€","2.000.000,00€",generales,2022
UNA LUZ AL MEDIODIA,"1.000.000,00€","2.000.000,00€",generales,2022
LOCOMMIA,"1.200.000,00€","6.100.000,00€",generales,2022
VALLE DE SOMBRAS,"1.200.000,00€","6.043.960,00€",generales,2022
REYES VS SANTA,"1.200.000,00€","5.815.670,00€",generales,2022
UN REGALO PARA ANE,"1.200.000,00€","5.632.751,00€",generales,2022
LA GRIPE RICA / RICH FLU,"1.260.000,00€","10.000.000,00€",generales,2022
"CASA BLOC, REHABILITACIÓN DE UNA IDEA","29.275,64€","103.200,00€",selectivas,2022
DOMINGO DOMINGO,"42.500,00€","171.106,33€",selectivas,2022
RETAGUARDIA,"54.302,50€","108.605,00€",selectivas,2022
CUERPO Y CIUDAD,"54.612,50€","128.500,00€",selectivas,2022
SATURNO,"55.016,25€","129.450,00€",selectivas,2022
LA HORA DE LAS TORTUGAS,"66.002,92€","155.313,00€",selectivas,2022
ALEMANIA,"72.861,15€","171.438,00€",selectivas,2022
SIETE JERELES,"96.581,25€","203.175,00€",selectivas,2022
J.A.B BARDEM,"97.750,00€","230.000,00€",selectivas,2022
SER PERMANENTE,"103.250,00€","135.000,00€",selectivas,2022
EL TECHO AMARILLO,"107.125,00€","325.758,91€",selectivas,2022
UN ARBRE ÉS UN ARBRE,"107.318,40€","153.312,00€",selectivas,2022
"DOHA, THE RISING SUN","109.650,00€","258.246,44€",selectivas,2022
RECUERDO TU NOMBRE,"118.150,00€","348.480,00€",selectivas,2022
LA CIENTÍFICA Y EL PASTOR,"119.000,00€","368.701,48€",selectivas,2022
TODO ES CÁRCEL,"119.000,00€","315.550,00€",selectivas,2022
POR QUE NO ESCRIBO NADA,"123.250,00€","340.750,00€",selectivas,2022
CÓDIGO MARCOS,"123.250,00€","290.578,00€",selectivas,2022
SLOW,"124.583,99€","293.138,82€",selectivas,2022
DECONSTRUYENDO ANDRÉ MALBY,"127.500,00€","320.000,00€",selectivas,2022
MIRALLES,"128.647,50€","381.612,00€",selectivas,2022
OLE MI COÑO: DIARIO DE MI EXTORSIÓN,"140.250,00€","330.882,00€",selectivas,2022
LA ANATOMÍA DE LOS CABALLOS,"147.200,00€","294.400,00€",selectivas,2022
LOS CANTOS DE PITI LAUDIO,"152.290,00€","190.840,00€",selectivas,2022
MORLAIX,"153.000,00€","686.349,00€",selectivas,2022
LA PARTITURA DEL COSMOS,"153.000,00€","361.320,00€",selectivas,2022
LA MARSELLESA DE LOS BORRACHOS,"157.250,00€","247.455,00€",selectivas,2022
LA NOCHE DE LA INFANCIA,"177.650,00€","418.176,00€",selectivas,2022
LA VIRGEN DE LA TOSQUERA,"181.000,00€","259.181,00€",selectivas,2022
APUNTES PARA UNA FICCIÓN CONSENTIDA,"199.889,14€","470.354,19€",selectivas,2022
PAPAGAYO,"221.637,50€","521.500,00€",selectivas,2022
LA LLEGADA DEL HIJO,"231.649,79€","545.058,33€",selectivas,2022
"BEATRIZ, LA MUJER QUIROGA","300.000,00€","800.000,00€",selectivas,2022
SAN SIMON,"378.250,00€","894.000,00€",selectivas,2022
LEJOS DE LOS ÁRBOLES,"388.552,00€","893.425,00€",selectivas,2022
ANOCHE CONQUISTÉ TEBAS,"395.354,00€","790.708,00€",selectivas,2022
BALEARIC,"420.000,00€","842.044,00€",selectivas,2022
LA TIERRA NEGRA,"446.250,00€","1.064.079,00€",selectivas,2022
LA FURIA,"573.725,00€","1.147.450,00€",selectivas,2022
AS NEVES,"605.784,80€","1.425.376,14€",selectivas,2022
LA CASA,"637.500,00€","1.500.000,00€",selectivas,2022
LA DONA INVISIBLE,"658.750,00€","1.559.000,00€",selectivas,2022
BODEGÓN CON FANTASMAS,"675.000,00€","1.350.000,00€",selectivas,2022
LAS MADRES NO,"680.000,00€","2.700.000,00€",selectivas,2022
NOCHES DE DUENDE Y LUNA,"680.000,00€","2.465.632,61€",selectivas,2022
CHICA Y LOBO,"680.000,00€","2.400.000,00€",selectivas,2022
DESMONTANDO UN ELEFANTE,"709.133,00€","1.418.266,00€",selectivas,2022
HERMANAS,"750.000,00€","2.231.844,00€",selectivas,2022
LA LUCHA,"750.000,00€","1.500.000,00€",selectivas,2022
LA NIÑA DE LA CABRA,"774.365,81€","1.548.731,62€",selectivas,2022
DANIELA FOREVER,"800.000,00€","3.140.000,00€",selectivas,2022
EL TESORO DE BARRACUDA,"800.000,00€","3.086.927,00€",selectivas,2022
DÍA DE CAZA,"800.000,00€","2.000.000,00€",selectivas,2022
LA CASA LLENA,"800.000,00€","1.836.000,00€",selectivas,2022
LA QUINTA DE LOS ALMENDROS BLANCOS,"800.000,00€","1.751.170,00€",selectivas,2022
LA MITAD DE ANA,"800.000,00€","1.732.000,00€",selectivas,2022
POR DONDE PASA EL SILENCIO,"800.000,00€","1.278.380,30€",selectivas,2022
OLIVIA Y EL TERREMOTO INVISIBLE,"800.000,00€","2.700.000,00€",selectivas,2021
ROCK BOTTOM,"800.000,00€","2.500.000,00€",selectivas,2021
CREATURA,"800.000,00€","1.725.000,00€",selectivas,2021
LA CONSAGRACIÓN DE LA PRIMAVERA,"744.922,00€","1.489.844,00€",selectivas,2021
LOS ERIZOS,"700.000,00€","1.750.000,00€",selectivas,2021
POLVO SERAN,"680.000,00€","2.500.000,00€",selectivas,2021
UNA BALLENA,"680.000,00€","2.500.000,00€",selectivas,2021
NINA,"680.000,00€","2.062.829,00€",selectivas,2021
20.000 ESPECIES DE ABEJAS,"680.000,00€","1.700.000,00€",selectivas,2021
GOLEM,"636.388,14€","2.268.432,56€",selectivas,2021
ELS ENCANTATS,"631.125,00€","1.485.000,00€",selectivas,2021
ALUMBRAMIENTO,"596.224,00€","1.807.516,12€",selectivas,2021
O CORPO ABERTO,"595.000,00€","1.000.000,00€",selectivas,2021
REFUGIADAS CLIMÁTICAS,"586.500,00€","2.457.720,00€",selectivas,2021
REESCRITURA,"493.610,00€","1.234.025,00€",selectivas,2021
LO QUE QUEDA DE TI,"476.629,00€","1.231.850,00€",selectivas,2021
O CORNO DO CENTEO,"350.000,00€","1.000.000,00€",selectivas,2021
VIAJE A ALGUNA PARTE,"318.754,67€","750.011,00€",selectivas,2021
UNICORNIOS,"300.024,60€","1.276.031,00€",selectivas,2021
"OSWALD, OPERACIÓN ARTISTA","255.000,00€","600.000,00€",selectivas,2021
CHARLIE CHAPLIN...,"250.000,00€","1.267.804,00€",selectivas,2021
LA HISTORIA OLVIDADA,"244.800,00€","1.492.000,00€",selectivas,2021
MANANTIAL,"225.000,00€","563.000,00€",selectivas,2021
"RECUERDOS, SALUDOS...","176.000,00€","232.536,00€",selectivas,2021
LA REVOLUCIÓN DE LAS MUSAS,"171.541,05€","288.305,00€",selectivas,2021
KRAKATOA,"163.200,00€","300.000,00€",selectivas,2021
BAYO BAYO BABY,"150.450,00€","497.625,00€",selectivas,2021
ÁNGEL,"140.236,40€","332.534,00€",selectivas,2021
TRINI,"124.312,50€","292.500,00€",selectivas,2021
ELENA DIO A LUZ UN NIÑO,"123.797,40€","359.610,00€",selectivas,2021
LA ANATOMÍA DE LOS CABALLOS,"123.420,00€","726.000,00€",selectivas,2021
LOS CABALLOS,"116.375,00€","145.500,00€",selectivas,2021
OLVIDATE DEL CINE,"114.952,30€","270.476,00€",selectivas,2021
EL AGUA,"111.500,00€","2.335.167,00€",selectivas,2021
RIQUENI,"105.967,80€","249.336,00€",selectivas,2021
HIJA DEL VOLCÁN,"104.308,17€","328.456,00€",selectivas,2021
EJERCICIOS PARA VER A DIOS,"100.459,80€","281.400,00€",selectivas,2021
YO TENÍA UNA VIDA,"94.312,88€","242.000,00€",selectivas,2021
LUMINOSO ESPACIO SALVAJE,"83.362,05€","400.300,00€",selectivas,2021
LAS HIJAS DEL FUEGO 2...,"80.430,85€","652.583,00€",selectivas,2021
SUGAR ISLAND,"80.043,89€","500.000,00€",selectivas,2021
PEPI FANDANGO,"76.500,00€","203.660,00€",selectivas,2021
ALTERITATS (OTREDADES),"58.265,00€","235.268,00€",selectivas,2021
SEDIMENTOS,"55.462,50€","130.547,00€",selectivas,2021
ESTADOS GENERALES,"51.000,00€","200.000,00€",selectivas,2021
TETUÁN,"45.900,00€","180.097,08€",selectivas,2021
SEMILLAS,"24.225,00€","279.099,91€",selectivas,2021
LIVE IS LIFE,"604.999,50€","5.139.990,00€",generales,2021
KEPLER SEXTO B,"650.354,00€","1.500.000,00€",generales,2021
"DOÑANA, RESERVA SALVAJE DE EUROPA","674.711,00€","1.349.423,00€",generales,2021
SIN TI NO PUEDO,"869.935,50€","1.739.871,00€",generales,2021
AS BESTAS,"1.000.000,00€","3.488.882,00€",generales,2021
CERDITA,"1.000.000,00€","2.406.938,00€",generales,2021
EL CUCO,"1.000.000,00€","2.757.021,00€",generales,2021
CUIDADO CON LO QUE DESEAS,"1.000.000,00€","3.175.469,00€",generales,2021
CHINAS,"1.000.000,00€","2.000.000,00€",generales,2021
3000 OBSTACULOS,"1.000.000,00€","2.845.366,00€",generales,2021
TE ESTOY AMANDO LOCAMENTE,"1.000.000,00€","2.750.000,00€",generales,2021
LO QUE NUNCA TE DIJE,"1.000.000,00€","2.680.624,00€",generales,2021
EL NO CUMPLEAÑOS DE AVA,"1.000.000,00€","2.400.000,00€",generales,2021
LLENOS DE GRACIA,"1.000.000,00€","3.059.014,00€",generales,2021
PÁJAROS,"1.000.000,00€","2.525.387,00€",generales,2021
EL MAESTRO QUE PROMETIÓ EL MAR,"1.000.000,00€","2.106.226,00€",generales,2021
ASEDIO,"1.000.000,00€","2.537.639,00€",generales,2021
ALIMAÑAS,"1.000.000,00€","2.661.000,00€",generales,2021
VENUS,"1.000.000,00€","3.501.206,00€",generales,2021
ESPEJO ESPEJO,"1.000.000,00€","2.960.000,00€",generales,2021
MAMACRUZ,"1.000.000,00€","2.000.000,00€",generales,2021
DESDE LA SOMBRA,"1.000.000,00€","2.995.165,00€",generales,2021
EL FAVOR,"1.000.000,00€","3.396.027,00€",generales,2021
EL UNIVERSO DE OLIVER,"1.000.000,00€","2.532.884,00€",generales,2021
EL SALTO,"1.000.000,00€","3.420.930,00€",generales,2021
HAUNTED HEART,"1.000.000,00€","4.730.494,00€",generales,2021
LA MANZANA DE ORO,"1.000.000,00€","2.687.828,00€",generales,2021
LOS PEQUEÑOS AMORES,"1.000.000,00€","2.000.000,00€",generales,2021
FATUM,"1.000.000,00€","3.002.164,00€",generales,2021
SEGUNDO PREMIO,"1.000.000,00€","2.909.904,00€",generales,2021
TODOS LOS NOMBRES DE DIOS,"1.000.000,00€","4.038.493,00€",generales,2021
COMO DIOS MANDA,"1.000.000,00€","3.897.636,00€",generales,2021
LA MUJER DORMIDA,"1.000.000,00€","2.001.550,00€",generales,2021
UN PASADO POR DELANTE,"1.000.000,00€","2.592.164,00€",generales,2021
"GUS, EL PERRO GUÍA","1.000.000,00€","2.583.000,00€",generales,2021
EN LA FRONTERA,"1.000.000,00€","2.700.000,00€",generales,2021
MONSTRUOSA MIA,"1.000.000,00€","3.093.568,00€",generales,2021
MODELO 77,"1.400.000,00€","6.102.339,00€",generales,2021
VOY A PASARMELO BIEN,"1.400.000,00€","5.372.713,00€",generales,2021
EL BUEN PATRON,"1.400.000,00€","5.359.921,00€",generales,2021
A TODO TREN 2,"1.400.000,00€","5.048.924,00€",generales,2021
PADRE NO HAY MÁS QUE UNO 3,"1.400.000,00€","5.322.692,00€",generales,2021
MARI2,"1.400.000,00€","5.100.000,00€",generales,2021
CASI FAMILIA,"1.400.000,00€","5.500.000,00€",generales,2021
A SMARTPHONE STORY,"1.400.000,00€","5.600.000,00€",generales,2021
VALENTINA,"552.000,00€","2.100.000,00€",selectivas,2020
UNICORN WARS,"784.000,00€","2.800.000,00€",selectivas,2020
QUE NADIE DUERMA,"602.491,90€","2.151.756,79€",selectivas,2020
LIBERTAD,"134.400,00€","2.105.772,00€",selectivas,2020
EL AGUA,"340.000,00€","2.113.626,00€",selectivas,2020
MATAR CANGREJOS,"261.800,00€","623.630,00€",selectivas,2020
LA PIEDAD,"333.200,00€","833.000,00€",selectivas,2020
LAS CONSECUENCIAS,"108.800,00€","1.481.560,00€",selectivas,2020
DOS ESTACIONES,"104.720,00€","261.800,00€",selectivas,2020
PACIFICUTION,"210.800,00€","2.105.811,00€",selectivas,2020
TRAS EL VERANO,"200.000,00€","1.834.484,00€",selectivas,2020
100 DÍAS CON LA TATA,"212.500,00€","500.000,00€",selectivas,2020
ESPIRITU SAGRADO,"231.111,84€","811.234,44€",selectivas,2020
TRES,"115.600,00€","1.558.172,00€",selectivas,2020
SICA,"440.000,00€","1.100.000,00€",selectivas,2020
ON THE GO,"150.000,00€","417.653,00€",selectivas,2020
EL RADIOAFICIONADO,"102.000,00€","255.000,00€",selectivas,2020
EL SUSTITUTO,"300.000,00€","2.610.158,00€",selectivas,2020
EL CRÍTICO,"119.000,00€","280.000,00€",selectivas,2020
¿QUÉ HICIMOS MAL?,"126.310,00€","585.000,00€",selectivas,2020
PICO REJA,"76.500,00€","180.000,00€",selectivas,2020
LA FLOTA DE INDIAS,"150.450,00€","354.000,00€",selectivas,2020
OTRA FORMA DE ENTENDER LA VIDA,"127.500,00€","300.000,00€",selectivas,2020
MAGALUF GHOST TOWN,"97.410,00€","338.000,00€",selectivas,2020
CALLEJONES,"114.750,00€","270.000,00€",selectivas,2020
EL RETORNO: LA VIDA DESPUÉS DEL ISIS,"127.500,00€","450.000,00€",selectivas,2020
KAREN,"125.105,75€","294.366,48€",selectivas,2020
"GOYA, EL OJO QUE ESCUCHA","136.000,00€","843.513,00€",selectivas,2020
CANTANDO EN LAS AZOTEAS,"127.500,00€","300.000,00€",selectivas,2020
EL TECHO AMARILLO,"102.000,00€","315.000,00€",selectivas,2020
DEUX,"110.500,00€","260.000,00€",selectivas,2020
LAS CARTAS PERDIDAS,"141.011,25€","331.791,20€",selectivas,2020
EL AGUA,"111.350,00€","262.000,00€",selectivas,2020
EL SEMBRADOR DE ESTRELLAS,"21.250,00€","50.000,00€",selectivas,2020
MUESTRA DE CINE ASTURIANO,"123.250,00€","290.000,00€",selectivas,2020
TRÁNSITO,"148.750,00€","350.000,00€",selectivas,2020
LA MAMI,"55.437,50€","150.000,00€",selectivas,2020
LOS CABALLOS,"212.500,00€","500.000,00€",selectivas,2020
LAS CARTAS DE MI PADRE,"119.000,00€","280.000,00€",selectivas,2020
UN CIELO IMPERFECTO,"720.000,00€","1.800.000,00€",selectivas,2020
