"titulo_normalizado","fecha_estreno"
"luz de aisha","2025-04-11"
"luz en la oscuridad phoenix","2021-01-22"
"maa yiem la extraordinaria historia de jordi sabater pi","2024-02-22"
"madre","2016-10-28"
"madre no hay mas que una european","2023-10-20"
"madres","2025-05-22"
"madre ven european","2022-11-25"
"madrid ext","2025-08-28"
"madriguera","2016-12-02"
"madruga","2019-03-28"
"magallanes","2016-05-27"
"magical girl avalon","2014-10-17"
"magnificent stranger the","2025-10-13"
"malasana 80 music bar","2020-11-12"
"maldicion he vuelto a cambiar","2021-06-30"
"maldita primavera","2024-06-29"
"mallorca la isla madre","2022-11-11"
"mal que hacen los hombres","2016-02-19"
"malvaloca","2024-04-17"
"mama ahora mando yo","2025-07-30"
"mama quiero ser futbolista profesional","2022-06-24"
"mami","2020-10-23"
"manchester keeps on dancing","2018-01-12"
"maniobra de heimlich la paycom","2015-11-27"
"mans del genoves les","2024-05-05"
"mantra sonidos en silencio","2019-05-06"
"manuel machado o la edad de la poesia maravillas","2024-08-23"
"mapa","2013-02-01"
"maquinista","2025-04-29"
"mar adentro","2024-03-08"
"maragall i la lluna","2021-01-29"
"marcelino el mejor payaso del mundo","2020-07-10"
"marco","2024-11-08"
"marcos y vida","2021-11-01"
"margalida","2022-07-27"
"margolaria","2019-03-22"
"maria","2016-12-07"
"maria avalon","2016-12-07"
"maria casares la mujer que vivio mil vidas","2023-03-10"
"maria la portuguesa","2025-04-08"
"maria y la pelicula olvidada","2023-07-28"
"marilyn y las avispas maravillas","2024-04-05"
"mario","2025-10-10"
"mariquilla terremoto","2024-04-20"
"marisma","2025-05-23"
"mar menor mal mayor","2025-06-24"
"marsella","2014-07-18"
"marsellesa de los borrachos","2025-02-14"
"mas alla del terror","2023-04-22"
"mas cinco european","2025-03-28"
"maspalomas","2025-09-26"
"mas que amor frenesi","2023-07-06"
"matadero","2022-12-09"
"matanza","2015-04-10"
"matilde coral acariciando el aire","2016-09-16"
"matria avalon","2023-03-24"
"maus","2017-11-18"
"mccurry la busqueda del color","2022-06-03"
"media hora","2018-05-11"
"medjugorje la pelicula european","2021-10-01"
"mejor verano de mi vida el se realiza siguiendo el criterio de semanas cinematograficas","2018-07-12"
"me llamo gennet rloa zsoe nreesa lpizaar asi ghuuiierndo el criterio de semanas cinematograficas","2019-04-05"
"memoria del agua","2016-08-05"
"memoria inmortal","2025-02-20"
"memorias del angel caido se realiza siguiendo el criterio de semanas cinematograficas","2022-09-07"
