fecha_anual_esp	titulo_anual_esp	expediente_icaa	confidence	reason	title_score	titulo_icaa	fecha_estreno_icaa	url
2025-04-25	foreign song a		no encontrado	sin candidato aceptable				
2021-06-04	formentor el mar de las palabras		no encontrado	sin candidato aceptable				
2023-06-23	fortaleza	55415	media	titulo fuerte; fecha cercana (14 dias)	1.0	LA FORTALEZA	09/06/2023	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=55415
2022-11-18	fracasados		no encontrado	sin candidato aceptable				
2025-12-12	fragmentos		no encontrado	sin candidato aceptable				
2022-10-14	francesca y el amor		no encontrado	sin candidato aceptable				
2021-10-07	frederica montseny la mujer que habla		no encontrado	sin candidato aceptable				
2021-09-27	free play		no encontrado	sin candidato aceptable				
2023-10-21	free salir es posible		no encontrado	sin candidato aceptable				
2025-12-12	frontera	126723	media	titulo fuerte; fecha cercana (11 dias)	1.0	FRONTERA	01/12/2025	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=126723
2023-12-18	fueron los dias		no encontrado	sin candidato aceptable				
2021-05-21	fuerza de un barrio		no encontrado	sin candidato aceptable				
2023-11-10	fuga	99122	revisar	titulo fuerte; fecha distinta o ausente	1.0	LA FUGA	10/05/2024	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=99122
2024-05-15	fugida		no encontrado	sin candidato aceptable				
2024-04-08	funcion		no encontrado	sin candidato aceptable				
2025-06-20	furgo	101222	media	titulo fuerte; fecha cercana (2 dias)	1.0	LA FURGO	18/06/2025	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=101222
2016-11-11	furias		no encontrado	sin candidato aceptable				
2022-05-10	fusilados		no encontrado	sin candidato aceptable				
2025-08-08	futbolisimos 2 y el misterio del tesoro pirata		no encontrado	sin candidato aceptable				
2014-09-12	gabor		no encontrado	sin candidato aceptable				
2019-09-27	gallo		no encontrado	sin candidato aceptable				
2015-04-18	game over		no encontrado	sin candidato aceptable				
2025-06-24	gato montes		no encontrado	sin candidato aceptable				
2025-11-14	gaua	120523	media	titulo fuerte; fecha cercana (1 dias)	1.0	GAUA	13/11/2025	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=120523
2024-06-21	generacion lagartija		no encontrado	sin candidato aceptable				
2016-04-22	generacion z		no encontrado	sin candidato aceptable				
2024-06-14	genero chico		no encontrado	sin candidato aceptable				
2016-11-04	geometria del esplendor		no encontrado	sin candidato aceptable				
2016-09-09	gernika		no encontrado	sin candidato aceptable				
2017-12-14	gesta sobre la maleza		no encontrado	sin candidato aceptable				
2022-11-22	gesto		no encontrado	sin candidato aceptable				
2024-10-21	ghosts of the chelsea hotel		no encontrado	sin candidato aceptable				
2021-02-19	godot phoenix	169420	alta	titulo y fecha exactos	1.0	GODOT	19/02/2021	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=169420
2023-04-25	goerlich el arquitecto que sono su ciudad		no encontrado	sin candidato aceptable				
2022-11-25	golondrinas		no encontrado	sin candidato aceptable				
2024-05-24	golpe a golpe	125823	media-baja	titulo fuerte; mismo anio	1.0	GOLPE A GOLPE	26/03/2024	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=125823
2025-12-05	golpes		no encontrado	sin candidato aceptable				
2021-12-17	gora automatikoa	179121	media	titulo fuerte; fecha cercana (28 dias)	1.0	GORA AUTOMATIKOA	19/11/2021	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=179121
2021-06-25	gran camino		no encontrado	sin candidato aceptable				
2025-12-23	gran familia		no encontrado	sin candidato aceptable				
2015-11-27	granja del paso		no encontrado	sin candidato aceptable				
2017-03-24	gran ola	24617	media	titulo fuerte; fecha cercana (1 dias)	1.0	GRAN OLA	23/03/2017	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=24617
2020-01-22	gran teatre del liceu aida		no encontrado	sin candidato aceptable				
2018-02-27	gran teatre del liceu romeo y julieta		no encontrado	sin candidato aceptable				
2019-03-12	greco el pintor de lo invisible		no encontrado	sin candidato aceptable				
2017-12-12	grieta		no encontrado	sin candidato aceptable				
2013-12-13	guadalquivir	31212	alta	titulo y fecha exactos	1.0		13/12/2013	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=31212
2024-03-01	guadalupe madre de la humanidad european		no encontrado	sin candidato aceptable				
2024-03-08	guarapo		no encontrado	sin candidato aceptable				
2018-02-06	guatemala cuando el futuro perdio el miedo		no encontrado	sin candidato aceptable				
2022-05-27	guerra de los ninos la se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2021-11-18	guerra mas larga la se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2023-11-21	guillermo perez villalta del agua y el mediterraneo		no encontrado	sin candidato aceptable				
2023-06-22	h		no encontrado	sin candidato aceptable				
2015-06-12	hablar		no encontrado	sin candidato aceptable				
2025-08-29	hada		no encontrado	sin candidato aceptable				
2023-03-27	hada de las estaciones		no encontrado	sin candidato aceptable				
2025-05-30	hamburgo	43122	alta	titulo y fecha exactos	1.0	HAMBURGO	30/05/2025	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=43122
2025-12-05	hanna y las navidades olvidadas		no encontrado	sin candidato aceptable				
2023-04-21	hanna y los monstruos		no encontrado	sin candidato aceptable				
2018-06-01	hasta manana si dios quiere		no encontrado	sin candidato aceptable				
